id,title,description,link,image_link,price,sale_price,availability,condition,brand,mpn,google_product_category,product_type,color,custom_label_0,target_country
4799,Poster Dogana and Santa Maria By William Turner | Artiști celebri,"Afiș cu pictura „Dogana și Santa Maria” a artistului britanic Joseph Mallord William Turner din anul 1843. Motivul arată clădirea bisericii Santa Maria della Salut din Veneția. William Turner este cel mai bine cunoscut pentru picturile sale romantice de peisaj, despre al căror stil se poate spune că a pus bazele impresionismului. Picturile sale sunt printre cele mai apreciate din lume.",https://gallerix.ro/poster/4799-dogana-and-santa-maria-by-william-turner,https://img.gallerix.com/product/google/4799.jpg,69.00 RON,55.20 RON,in stock,new,Gallerix,4799,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Bej,Artiști celebri,RO
4281,"Poster Steve McQueen | Fotografii iconice, Alb-negru",Poster cu Steve McQueen 1963. Fotografia are o structură granulată care conferă imaginii un aspect vintage contemporan.,https://gallerix.ro/poster/4281-steve-mcqueen,https://img.gallerix.com/product/google/4281.jpg,69.00 RON,55.20 RON,in stock,new,Gallerix,4281,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Alb/Negru,"Fotografii iconice,Alb-negru",RO
4111,Poster Bear With Balloon | Pentru copii,Poster pentru copii pentru camerele copiilor din categoria tablouri pentru copii cu un tablou simpatic al unui urs brun cu un balon portocaliu pe un fundal deschis de culoarea nisipului.,https://gallerix.ro/poster/4111-bear-with-balloon,https://img.gallerix.com/product/google/4111.jpg,69.00 RON,48.30 RON,in stock,new,Gallerix,4111,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Bej/Roșu,Pentru copii,RO
6873,"Poster Empire State Building No1 | Foto artă, Orașe și Arhitectură, Alb-negru","Afiș alb-negru cu o fotografie a Empire State Building, Manhattan, New York, învăluită în nori.",https://gallerix.ro/poster/6873-empire-state-building-no1,https://img.gallerix.com/product/google/6873.jpg,69.00 RON,55.20 RON,in stock,new,Gallerix,6873,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Alb/Negru,"Foto artă,Orașe și Arhitectură,Alb-negru",RO
8374,Poster Return Of Il Bucintoro On Ascension Day By Canaletto | Artiști celebri,Intrare din categoria artiști celebri cu tabloul „Return Of &#39;Il Bucintoro&#39; On Ascension Day” de artistul italian Canaletto din anul 1745-1750.,https://gallerix.ro/poster/8374-return-of-il-bucintoro-on-ascension-day-by-canaletto,https://img.gallerix.com/product/google/8374.jpg,69.00 RON,55.20 RON,in stock,new,Gallerix,8374,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Albastru,Artiști celebri,RO
9585,"Poster Avocado & Egg Morning | Bucătărie, Acuarelă","Acest poster vibrant și colorat surprinde un moment perfect pentru micul dejun, cu ouă prăjite, avocado, roșii cherry și un pahar de suc de portocale, toate frumos aranjate pe o față de masă cu carouri verdeață. Culorile proaspete și detaliile fermecătoare creează un sentiment primitor și energizant.",https://gallerix.ro/poster/9585-avocado-egg-morning,https://img.gallerix.com/product/google/9585.jpg,69.00 RON,55.20 RON,in stock,new,Gallerix,9585,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Albastru,"Bucătărie,Acuarelă",RO
8865,Poster Notlag Terøen By Amaldus Nielsen | Artiști celebri,"Postare din categoria artă istorică cu tabloul „Notlag, Terøen” de artistul norvegian Amaldus Nielsen din anul 1897.",https://gallerix.ro/poster/8865-notlag-teroen-by-amaldus-nielsen,https://img.gallerix.com/product/google/8865.jpg,69.00 RON,55.20 RON,in stock,new,Gallerix,8865,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Bej,Artiști celebri,RO
9484,Poster Textured Symphony | Artă abstractă,"Un poster unic care unește lumea muzicii și a artei cu note și simboluri texturate într-o paletă moale, monocromă. Detaliile în relief creează un sentiment de mișcare și ritm, perfect pentru a oferi casei tale o atmosferă sofisticată și creativă.",https://gallerix.ro/poster/9484-textured-symphony,https://img.gallerix.com/product/google/9484.jpg,69.00 RON,55.20 RON,in stock,new,Gallerix,9484,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Alb/Bej,Artă abstractă,RO
9756,"Poster Always | Artă abstractă, Picturi de artă","Schimbător ca anotimpurile, dar etern ca stelele – acest poster surprinde esența atemporală a iubirii cu designul său minimalist. Tonurile calde de pământ contrastează armonios cu nuanțe verzi atenuate, creând un echilibru vizual care se potrivește perfect în orice cameră.",https://gallerix.ro/poster/9756-always,https://img.gallerix.com/product/google/9756.jpg,69.00 RON,55.20 RON,in stock,new,Gallerix,9756,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Bej/Verde,"Artă abstractă,Picturi de artă",RO
10483,"Poster Solar Symphony | Artă abstractă, Acuarelă","Descoperiți un poster în care liniile alb-negru contrastante se armonizează cu un cerc portocaliu radiant care pare să plutească în prim-plan. Mișcarea extinsă a liniilor creează un sentiment hipnotic de profunzime și dimensiune, iar combinația de culori oferă încăperii atât energie, cât și căldură.",https://gallerix.ro/poster/10483-solar-symphony,https://img.gallerix.com/product/google/10483.jpg,69.00 RON,55.20 RON,in stock,new,Gallerix,10483,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Roșu,"Artă abstractă,Acuarelă",RO
4986,Poster Paysage De Collines By Henri Harpignies | Artiști celebri,Afiș cu pictura „Paysage De Collines” de artistul francez Henri Joseph Harpignies din anul 1858.,https://gallerix.ro/poster/4986-paysage-de-collines-by-henri-harpignies,https://img.gallerix.com/product/google/4986.jpg,69.00 RON,55.20 RON,in stock,new,Gallerix,4986,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Bej,Artiști celebri,RO
5547,Poster Yellow Half-Moon 1918 By Paul Klee | Picturi de artă,Poster din categoria picturi de artă cu tabloul „Compoziție cu semilună galbenă” de artistul elvețian Paul Klee din anul 1918.,https://gallerix.ro/poster/5547-yellow-half-moon-1918-by-paul-klee,https://img.gallerix.com/product/google/5547.jpg,69.00 RON,55.20 RON,in stock,new,Gallerix,5547,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Albastru,Picturi de artă,RO
7318,Poster Linoel Messi FC Barcelona 2013 No1 | Sportive,Afiș alb-negru cu o fotografie a lui Lionel Messi de la FC Barcelona într-un meci împotriva lui Santos în 2013. Messi sărbătorește după ce a marcat 1-0.,https://gallerix.ro/poster/7318-linoel-messi-fc-barcelona-2013-no1,https://img.gallerix.com/product/google/7318.jpg,69.00 RON,55.20 RON,in stock,new,Gallerix,7318,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Alb/Negru,Sportive,RO
7057,"Poster Cin Cin | Tipografice, Bucătărie",Afiș cu ilustrarea a două pahare de vin și textul „CIN CIN” care este o expresie de prăjire asemănătoare cu „cheers”.,https://gallerix.ro/poster/7057-cin-cin,https://img.gallerix.com/product/google/7057.jpg,69.00 RON,55.20 RON,in stock,new,Gallerix,7057,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Albastru/Roșu,"Tipografice,Bucătărie",RO
