id,title,description,link,image_link,price,sale_price,availability,condition,brand,mpn,google_product_category,product_type,color,custom_label_0,target_country
8586,Poster Pursuit By Dean Cornwell | Famous artists,Poster with the painting &quot;Pursuit&quot; by the American artist Dean Cornwell from 1921.,https://gallerix.ie/poster/8586-pursuit-by-dean-cornwell,https://img.gallerix.com/product/google/8586.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8586,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Blue,Famous artists,IE
6082,"Poster Deer In Autumn | Animals, Autumn, Aquarell",Poster from the category animals with a watercolor painting of a deer in a beautiful forest environment in autumn colors.,https://gallerix.ie/poster/6082-deer-in-autumn,https://img.gallerix.com/product/google/6082.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,6082,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Red/Yellow,"Animals,Autumn,Aquarell",IE
5437,"Poster Pool Party | Black & white, Vintage",Black and white poster with a vintage image of a group of people partying by a pool.,https://gallerix.ie/poster/5437-pool-party,https://img.gallerix.com/product/google/5437.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,5437,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Black/White,"Black & white,Vintage",IE
8849,Poster La Boule Argentée By Alfred Stevens | Famous artists,Post from the category historical art with the painting &quot;La Boule Argentée&quot; by the Belgian artist Alfred Stevens.,https://gallerix.ie/poster/8849-la-boule-argentee-by-alfred-stevens,https://img.gallerix.com/product/google/8849.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8849,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Green,Famous artists,IE
5553,"Poster Self-Portrait 1659 By Rembrandt | Art posters, Famous artists",Poster from the category art paintings with a self-portrait of the Dutch artist Rembrandt from the year 1659.,https://gallerix.ie/poster/5553-self-portrait-1659-by-rembrandt,https://img.gallerix.com/product/google/5553.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,5553,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Beige,"Art posters,Famous artists",IE
8900,"Poster The Grand Piano | Photographs, Black & white",Create a harmonious and elegant atmosphere with this poster that captures the timeless beauty of a grand piano. The minimalist design and the soft light give the room a sense of calm and sophistication. Perfect for music lovers or for those who want to add a touch of classic charm to your home or office.,https://gallerix.ie/poster/8900-the-grand-piano,https://img.gallerix.com/product/google/8900.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8900,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Black/White,"Photographs,Black & white",IE
10138,Poster Minimalist Affection | Aquarell,"This poster immediately catches the eye with its two intertwined figures that form a simple yet powerful composition. The black silhouettes against the white background create a dramatic contrast, conveying a sense of closeness and togetherness.",https://gallerix.ie/poster/10138-minimalist-affection,https://img.gallerix.com/product/google/10138.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,10138,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Beige,Aquarell,IE
5854,"Poster Pink Flowers Green Door | Botanical, Photographs, Cities and Architecture",Poster from the botanical and architecture category with a photograph of a tree with beautiful pink flowers in front of a green door.,https://gallerix.ie/poster/5854-pink-flowers-green-door,https://img.gallerix.com/product/google/5854.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,5854,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Green/Pink,"Botanical,Photographs,Cities and Architecture",IE
3793,"Poster Sheep In Fog | Animals, Autumn",Poster from the category Animals with photography on white sheep in a pasture filled with fog with large trees in the background.,https://gallerix.ie/poster/3793-sheep-in-fog,https://img.gallerix.com/product/google/3793.jpg,14.90 EUR,11.18 EUR,in stock,new,Gallerix,3793,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Beige,"Animals,Autumn",IE
10690,"Poster Disco Dream | Fashion, Photographs, Black & white","This poster captures the moment of elegance and festive atmosphere. Fishnet stockings and glittery shoes embrace a mirror ball, while confetti rains down, creating an atmosphere of pure joy and luxury.",https://gallerix.ie/poster/10690-disco-dream,https://img.gallerix.com/product/google/10690.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,10690,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Black/White/Red,"Fashion,Photographs,Black & white",IE
8609,Poster The Artist’s Mother Opening A Door By Edouard Vuillard | Famous artists,Poster with the painting &quot;The Artist&#39;s Mother Opening A Door&quot; by the French artist Edouard Vuillard in 1886.,https://gallerix.ie/poster/8609-the-artists-mother-opening-a-door-by-edouard-vuillard,https://img.gallerix.com/product/google/8609.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8609,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Yellow,Famous artists,IE
10667,"Poster Dreamscape Bloom | Art posters, Japandi","Japandi poster inspired by Japanese artist Yayoi Kusama. The poster captivates with an exuberant explosion of color and form, where mushrooms and flowers unite in an imaginative symphony. Every detail, from the speckled mushroom heads to the intricate petals of the flower, catches the eye and stimulates the imagination.",https://gallerix.ie/poster/10667-dreamscape-bloom,https://img.gallerix.com/product/google/10667.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,10667,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,,"Art posters,Japandi",IE
4962,Poster Das Haferfeld By Adolf Kaufmann | Famous artists,"Poster with the painting ""Das Haferfeld"" by the Austrian artist Adolf Kaufmann from the year 1906.",https://gallerix.ie/poster/4962-das-haferfeld-by-adolf-kaufmann,https://img.gallerix.com/product/google/4962.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,4962,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Green/Yellow,Famous artists,IE
5808,Poster Jaguar | Animals,Animal poster with a photograph in beautiful colors of a jaguar walking along a path in a natural environment. The jaguar is the world's third largest feline after the tiger and lion.,https://gallerix.ie/poster/5808-jaguar,https://img.gallerix.com/product/google/5808.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,5808,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Yellow,Animals,IE
3950,"Poster Old Record Player | Photographs, Black & white, Vintage",Black and white vintage poster in landscape format from the category photo art with close-up photography on an old vinyl player.,https://gallerix.ie/poster/3950-old-record-player,https://img.gallerix.com/product/google/3950.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,3950,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Black/White,"Photographs,Black & white,Vintage",IE
4479,"Poster Giraffe Through Window | Kids wall art, Animals",Poster from the category animals and children posters with a funny picture of a giraffe sticking its head through a window.,https://gallerix.ie/poster/4479-giraffe-through-window,https://img.gallerix.com/product/google/4479.jpg,14.90 EUR,11.18 EUR,in stock,new,Gallerix,4479,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Beige/Green,"Kids wall art,Animals",IE
