id,title,description,link,image_link,price,sale_price,availability,condition,brand,mpn,google_product_category,product_type,color,custom_label_0,target_country
4706,"Poszter Allium Flowers | Botanikai, Ősz",Poszter a botanikai kategóriából allium virágok fényképével bézs háttér előtt.,https://gallerix.hu/poszter/4706-allium-flowers,https://img.gallerix.com/product/google/4706.jpg,4990.00 HUF,3992.00 HUF,in stock,new,Gallerix,4706,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poszter,Bézs,"Botanikai,Ősz",HU
9281,"Poszter The Blooming Market | Botanikai, Tavasz, Olajfestmények, Ünnepi ünnepek, Húsvéti","Ez a poszter egy elbűvölő virágpiacra visz, amely tele van színes csokrokkal és a zöldben táncoló napsugarakkal. Élénk színeivel és romantikus hangulatával megragadja egy békés reggel esszenciáját egy virágzó utcán. Tökéletes, hogy meleget és életet teremtsen otthonában, és időtlen tisztelgés a természet szépsége és végtelen változatossága előtt",https://gallerix.hu/poszter/9281-the-blooming-market,https://img.gallerix.com/product/google/9281.jpg,4990.00 HUF,3992.00 HUF,in stock,new,Gallerix,9281,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poszter,Piros/Sárga,"Botanikai,Tavasz,Olajfestmények,Ünnepi ünnepek,Húsvéti",HU
8466,Poszter Imaginary Landscape Italian Harbor Scene By Claude Joseph Vernet | Híres művészek,"A híres művészek kategóriájának plakátja Claude Joseph Vernet francia művész &quot;Képzeletbeli táj, olasz kikötői jelenet&quot; című festményével, 1746-ból.",https://gallerix.hu/poszter/8466-imaginary-landscape-italian-harbor-scene-by-claude-joseph-vernet,https://img.gallerix.com/product/google/8466.jpg,4990.00 HUF,3992.00 HUF,in stock,new,Gallerix,8466,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poszter special,Bézs,Híres művészek,HU
7523,Poszter Gtech Community Stadium Vintage Sketch 01 EN | Stadionvázlatok,"A nyugat-londoni Brentfordban található Gtech Community Stadium a Brentford Football Club otthona. A 2020-ban megnyílt stadion körülbelül 17 250 férőhelyes. A modern dizájnjáról és a legmodernebb létesítményeiről ismert Gtech Community Stadion kivételes meccsnapi élményt kínál a szurkolók számára. A helyszín kiváló kilátással, fejlett akusztikával és számos vendéglátó lakosztállyal rendelkezik. Többcélú stadionként rögbi mérkőzéseknek és egyéb eseményeknek is otthont ad, bemutatva sokoldalúságát. A stadion a helyi közösség központi csomópontja, a Brentford FC növekedését és ambícióit jelképezi.",https://gallerix.hu/poszter/7523-gtech-community-stadium-vintage-sketch-01-en,https://img.gallerix.com/product/google/7523.jpg,7990.00 HUF,,in stock,new,Gallerix,7523,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poszter special,,Stadionvázlatok,HU
9894,"Poszter Pop Art Percolator | Grafikus, Konyha","Fedezze fel a szín- és formarobbanást ezzel az élénk poszterrel! A kávéskanna stilizált, merész rózsaszín, narancssárga és fekete tónusú ábrázolásával ez a kép bármilyen falfelületet műalkotássá varázsol.",https://gallerix.hu/poszter/9894-pop-art-percolator,https://img.gallerix.com/product/google/9894.jpg,4990.00 HUF,3992.00 HUF,in stock,new,Gallerix,9894,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poszter special,Rózsaszín,"Grafikus,Konyha",HU
4537,"Poszter The Ten Largest No7 By Hilma Af Klint | Művészeti festmények, Hilma af Klint",Plakát az absztrakt és művészet kategóriából Hilma af Klint svéd festőművész által festett motívumokkal 1907-ben.,https://gallerix.hu/poszter/4537-the-ten-largest-no7-by-hilma-af-klint,https://img.gallerix.com/product/google/4537.jpg,4990.00 HUF,3992.00 HUF,in stock,new,Gallerix,4537,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poszter special,,"Művészeti festmények,Hilma af Klint",HU
10516,Poszter Flowing Contrasts | Absztrakt,"Ez a poszter lenyűgöz a lágy bézs háttéren áthulló fekete vonalaival, a mozgás és az egyensúly illúzióját keltve. A kontrasztos egyszerűség vizuális varázslatot teremt, amely azonnal felkelti a figyelmet.",https://gallerix.hu/poszter/10516-flowing-contrasts,https://img.gallerix.com/product/google/10516.jpg,4990.00 HUF,3992.00 HUF,in stock,new,Gallerix,10516,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poszter special,Bézs,Absztrakt,HU
10049,"Poszter Floral Noir | Botanikai, Grafikus","Ez a poszter azonnal megragadja a figyelmet kontrasztos fekete-fehér stílusával. A vázában lévő növények eleganciát és egyszerűséget árasztanak, ahol minden vonal és forma harmonikus egyensúlyt teremt.",https://gallerix.hu/poszter/10049-floral-noir,https://img.gallerix.com/product/google/10049.jpg,4990.00 HUF,3992.00 HUF,in stock,new,Gallerix,10049,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poszter special,Zöld,"Botanikai,Grafikus",HU
6680,"Poszter Vintage Propeller Aircraft B&W | Fotóművészet, Fekete-fehér, Régies, Motorok és járművek",Fekete-fehér poszter a vintage kategóriából egy régi propellerrepülő fényképével.,https://gallerix.hu/poszter/6680-vintage-propeller-aircraft-bw,https://img.gallerix.com/product/google/6680.jpg,4990.00 HUF,3992.00 HUF,in stock,new,Gallerix,6680,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poszter,Fekete/Fehér,"Fotóművészet,Fekete-fehér,Régies,Motorok és járművek",HU
3293,Poszter Airplane Teddy | Gyerekszoba,"Gyermek poszter akvarell illusztrációval egy kis mackó repülő repülőgép a felhők és a csillagok között. Ezt a posztert kiválóan felakaszthatja egy gyerekszobában, akár külön-külön, akár más, ugyanabba a kategóriába tartozó plakátokkal együtt. A „Flying Teddy” poszter a második poszter a négy különböző gyermekfestményből álló sorozatban.",https://gallerix.hu/poszter/3293-airplane-teddy,https://img.gallerix.com/product/google/3293.jpg,4990.00 HUF,3493.00 HUF,in stock,new,Gallerix,3293,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poszter special,Bézs/Kék,Gyerekszoba,HU
