id,title,description,link,image_link,price,sale_price,availability,condition,brand,mpn,google_product_category,product_type,color,custom_label_0,target_country
4987,Affiche Evening At Pipping By Erik Werenskiold | Artistes célèbres,"Affiche avec le tableau ""Evening At Pipping"" de l'artiste norvégien Erik Werenskiold de 1879.",https://gallerix.fr/affiche/4987-evening-at-pipping-by-erik-werenskiold,https://img.gallerix.com/product/google/4987.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,4987,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Affiche special,Vert,Artistes célèbres,FR
8566,"Affiche Jungle Conversations | Animaux, Peintures à l'huile","Donnez à votre intérieur une touche tropicale avec cette affiche colorée de deux magnifiques perroquets reposant sur des branches de palmier dans une jungle exotique. Les tons vibrants de rouge, de bleu et de jaune créent une atmosphère dynamique et vibrante, tandis que le fond ensoleillé donne une sensation de chaleur et d&#39;harmonie.",https://gallerix.fr/affiche/8566-jungle-conversations,https://img.gallerix.com/product/google/8566.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8566,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Affiche special,Vert/Bleu/Rose/Rouge/Jaune,"Animaux,Peintures à l'huile",FR
6685,"Affiche Porsche 911 Carrera Street View | Mode, Photographies, Moteurs et véhicules",Affiche de la catégorie mode et automobile avec l'image d'une Porsche 911 Carrera 4 garée devant des magasins de vêtements de luxe dans un cadre urbain cool.,https://gallerix.fr/affiche/6685-porsche-911-carrera-street-view,https://img.gallerix.com/product/google/6685.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,6685,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Affiche,Grise/Jaune,"Mode,Photographies,Moteurs et véhicules",FR
9619,"Affiche Snow Globe Skaters | Noël, Fêtes festives","Cette charmante affiche montre un couple heureux faisant du patin à glace à l&#39;intérieur d&#39;une boule à neige, entouré de flocons de neige et d&#39;un fond d&#39;hiver vert foncé. Le design ludique et nostalgique répand la chaleur et la joie hivernale, parfait pour créer une atmosphère chaleureuse et festive dans votre maison pendant l&#39;hiver et Noël.",https://gallerix.fr/affiche/9619-snow-globe-skaters,https://img.gallerix.com/product/google/9619.jpg,14.90 EUR,10.43 EUR,in stock,new,Gallerix,9619,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Affiche special,Vert/Rouge,"Noël,Fêtes festives",FR
4779,Affiche Dort Packet-Boat from Rotterdam Becalmed By William Turner | Artistes célèbres,"Affiche avec le tableau ""Dort Packet-Boat from Rotterdam Becalmed"" de l'artiste britannique Joseph Mallord William Turner de l'année 1818. Le motif montre une lueur dorée de conte de fées sur le port de Dordrecht, aux Pays-Bas. William Turner est surtout connu pour ses peintures de paysages romantiques, dont on peut dire que le style a jeté les bases de l'impressionnisme. Ses peintures sont parmi les plus appréciées au monde.",https://gallerix.fr/affiche/4779-dort-packet-boat-from-rotterdam-becalmed-by-william-turner,https://img.gallerix.com/product/google/4779.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,4779,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Affiche special,Beige/Bleu,Artistes célèbres,FR
4200,"Affiche Lake By Mountains | Nature, L'hiver",Affiche de la catégorie nature avec une photographie sur une belle petite île avec des arbres dans un lac avec des montagnes enneigées en arrière-plan.,https://gallerix.fr/affiche/4200-lake-by-mountains,https://img.gallerix.com/product/google/4200.jpg,14.90 EUR,10.43 EUR,in stock,new,Gallerix,4200,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Affiche,Bleu,"Nature,L'hiver",FR
10047,Affiche Lunar Dreamscape | Art Graphique,"Cette affiche attire immédiatement le regard avec sa représentation onirique de la lune et des étoiles dans une symphonie visuelle captivante. Le style graphique, noir et blanc, met en valeur les symboles et ajoute une touche mystérieuse.",https://gallerix.fr/affiche/10047-lunar-dreamscape,https://img.gallerix.com/product/google/10047.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,10047,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Affiche special,Jaune,Art Graphique,FR
4271,"Affiche James Dean | Photographique Iconique, Noir et Blanc","Affiche en noir et blanc de notre collection de photographies emblématiques avec une photographie de James Dean de 1955 lors du tournage du film Rebel Without A Cause. James Dean est l'une des icônes les plus célèbres au monde, même s'il est mort dans un accident de voiture avec sa Porsche 550 Spyder à l'extérieur de San Francisco alors qu'il n'avait que 24 ans. La photo a une structure granuleuse qui donne à l'image un look vintage contemporain.",https://gallerix.fr/affiche/4271-james-dean,https://img.gallerix.com/product/google/4271.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,4271,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Affiche special,Noir/Blanc,"Photographique Iconique,Noir et Blanc",FR
7039,"Affiche Courtyard's Keeper | Fleurs et plantes, Photographies",Affiche de la catégorie botanique avec l'image d'un olivier au milieu d'une cour dans un bel environnement méditerranéen.,https://gallerix.fr/affiche/7039-courtyards-keeper,https://img.gallerix.com/product/google/7039.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,7039,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Affiche,Beige/Vert,"Fleurs et plantes,Photographies",FR
10599,"Affiche Nami Japandi | Art, Japandi","Cette affiche capture la puissance de la nature à travers ses vagues vibrantes et ondulantes dans des nuances harmonieuses de vert et de bleu. C&#39;est une symphonie visuelle où chaque vague se déplace avec élégance et force, incarnant le rythme éternel de la mer.",https://gallerix.fr/affiche/10599-nami-japandi,https://img.gallerix.com/product/google/10599.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,10599,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Affiche,Vert,"Art,Japandi",FR
