id,title,description,link,image_link,price,sale_price,availability,condition,brand,mpn,google_product_category,product_type,color,custom_label_0,target_country
4744,Poster The Rue Mosnier With Flags By Édouard Manet | Berömda konstnärer,"Poster med målningen ""The Rue Mosnier with Flags"" av den franska konstnären Édouard Manet från år 1878. Manet var föregångare och inspirationskälla till den franska impressionismen. Impressionisterna lät sig påverkas av Manets brist på intresse för målningens motiv och hans betoning av konstnärens totala frihet i valet av färger och valörer.",https://gallerix.se/poster/4744-the-rue-mosnier-with-flags-by-edouard-manet,https://img.gallerix.com/product/google/4744.jpg,149.00 SEK,119.20 SEK,in stock,new,Gallerix,4744,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,,Berömda konstnärer,SE
3017,"Poster Black Rose | Botaniskt, Mode, Svartvita",Poster med en svart ros mot en svart bakgrund. Trendig botaniskt poster.,https://gallerix.se/poster/3017-black-rose,https://img.gallerix.com/product/google/3017.jpg,149.00 SEK,104.30 SEK,in stock,new,Gallerix,3017,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Svart/Vit,"Botaniskt,Mode,Svartvita",SE
7892,Poster Warm Hues | Abstrakt,"Denna poster fångar essensen av minimalistisk design med en harmonisk sammansättning av geometriska former och varma färger. En grön flaska står i fokus mot en bakgrund av block i mjuka gula och orange toner, vilket skapar en känsla av balans och lugn. Kontrasten mellan de varma nyanserna och den svala gröna färgen ger verket djup och modernitet. Perfekt för dig som söker en stilren och sofistikerad dekoration, där enkelhet och elegans möts i en modern tolkning av abstrakt konst.",https://gallerix.se/poster/7892-warm-hues,https://img.gallerix.com/product/google/7892.jpg,149.00 SEK,119.20 SEK,in stock,new,Gallerix,7892,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Gul,Abstrakt,SE
3958,"Poster Vintage Cars | Fotokonst, Svartvita, Vintage, Motor och Fordon",Svartvit poster i liggande format från kategorin fotokonst och vintage med fotografi på gamla retro bilar parkerade jämte varandra på en stor parkering. Vem älskar inte gamla bilar och deras vackra formspråk?,https://gallerix.se/poster/3958-vintage-cars,https://img.gallerix.com/product/google/3958.jpg,149.00 SEK,119.20 SEK,in stock,new,Gallerix,3958,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Svart/Vit,"Fotokonst,Svartvita,Vintage,Motor och Fordon",SE
4944,Poster Landscape By Albert Bierstadt | Berömda konstnärer,"Poster med målningen ""Landscape"" av den tysk-amerikanske konstnären Albert Bierstadt (1830-1902).",https://gallerix.se/poster/4944-landscape-by-albert-bierstadt,https://img.gallerix.com/product/google/4944.jpg,149.00 SEK,119.20 SEK,in stock,new,Gallerix,4944,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Blå,Berömda konstnärer,SE
6591,"Poster Frölunda HC Joel Lundqvist 2019 No2 B&W | Frölunda HC, Ikoniska & Fotografier",Svartvit poster med Frölundas Joel Lundqvist som jublar efter mål i final 3 i SM-slutspelet mellan Frölunda och Djurgården i april 2019 i Göteborg.,https://gallerix.se/poster/6591-frolunda-hc-joel-lundqvist-2019-no2-bw,https://img.gallerix.com/product/google/6591.jpg,195.00 SEK,,in stock,new,Gallerix,6591,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Svart/Vit,"Frölunda HC,Ikoniska & Fotografier",SE
5817,"Poster Aperol Spritz Vintage | Vintage, Kökstavlor, Sommar","Vintage poster med en illustration av drinken Aperol Spritz på ett litet bord med en rutig duk. En Aperol Spritz, även kallad Spritz Veneziano, är en italiensk vinbaserad cocktail som vanligtvis serveras som aperitif i nordöstra Italien . Den består av Prosecco, Aperol och sodavatten.",https://gallerix.se/poster/5817-aperol-spritz-vintage,https://img.gallerix.com/product/google/5817.jpg,149.00 SEK,119.20 SEK,in stock,new,Gallerix,5817,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Röd/Gul,"Vintage,Kökstavlor,Sommar",SE
10714,Poster Tender Touch | Akvarell,"Känslan av stillsam närhet och harmoni tar sin form i denna vackra poster. De varsamt målade händerna vilar i en rogivande omfamning, där varje linje och nyans ger ett intryck av ömhet och fred. Affischens subtila färgpalett förhöjer känslan av lugn och medkänsla.",https://gallerix.se/poster/10714-tender-touch,https://img.gallerix.com/product/google/10714.jpg,149.00 SEK,119.20 SEK,in stock,new,Gallerix,10714,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Beige,Akvarell,SE
9884,Poster Reflective Stripes | Akvarell,"Upptäck stillheten i denna konstnärliga poster, där mjuka penseldrag skapar en harmonisk balans mellan svartvita ränder och varma guldnyanser. Den meditativa stunden hos figuren förmedlar en känsla av lugn och reflektion.",https://gallerix.se/poster/9884-reflective-stripes,https://img.gallerix.com/product/google/9884.jpg,149.00 SEK,119.20 SEK,in stock,new,Gallerix,9884,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Gul,Akvarell,SE
4142,Poster Sleeping Friends | Barntavlor,"Välkommen till drömmarnas värld. ""Sleeping Friends"" är en barnposter till barnrum från kategorin barntavlor med målning i vattenfärg av en liten elefant och giraff som ligger på månen bland molnen och sover tillsammans. Motivet är målat mot en sandfärgad bakgrund.",https://gallerix.se/poster/4142-sleeping-friends,https://img.gallerix.com/product/google/4142.jpg,149.00 SEK,104.30 SEK,in stock,new,Gallerix,4142,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Beige/Blå,Barntavlor,SE
