id,title,description,link,image_link,price,sale_price,availability,condition,brand,mpn,google_product_category,product_type,color,custom_label_0,target_country
3812,"Plakat Champagne | Fotokunst, Vintage, Kjøkkenet, Sommer",Plakat i portrettformat fra kategorien Kjøkken og Vintage med et vakkert nærbilde på et Champagneglass med gullkant.,https://gallerix-home.no/plakat/3812-champagne,https://img.gallerix.com/product/google/3812.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,3812,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Gul,"Fotokunst,Vintage,Kjøkkenet,Sommer",NO
8724,"Plakat Winters Majesty | Dyr, Vinter","Få inn den rå kraften og skjønnheten til den nordiske villmarken med denne plakaten. Bildet viser en majestetisk bjørn som står omgitt av snø og fallende flak, med blikket fylt med styrke og nærvær. Perfekt for de som er inspirert av naturens ville innbyggere og vinterens fredelige landskap. En hyllest til den urørte skogen og en påminnelse om naturens stolte vokter i det stille vinterriket.",https://gallerix-home.no/plakat/8724-winters-majesty,https://img.gallerix.com/product/google/8724.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,8724,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Beige,"Dyr,Vinter",NO
3954,"Plakat Hiding In Plain Sight | Fotokunst, Vintage","Vintage plakater fra kategorien fotokunst med et fotografi av en dalmatisk hund med en lampeskjerm på hodet og en lampe uten, nettopp, en lampeskjerm. Et motiv med både stil og humor og med en fargelegging i gammel retro- og vintagestil. En skikkelig favoritt blant vintage plakater!",https://gallerix-home.no/plakat/3954-hiding-in-plain-sight,https://img.gallerix.com/product/google/3954.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,3954,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat,Grønn,"Fotokunst,Vintage",NO
3381,"Plakat Lake At Sunrise | Natur, Vår",Plakat fra naturkategorien med et vakkert fotografi av et løvtre i en løvskog ved en innsjø. Morgentåka er fortsatt tykk i soloppgangen.,https://gallerix-home.no/plakat/3381-lake-at-sunrise,https://img.gallerix.com/product/google/3381.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,3381,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Beige/Blå/Gul,"Natur,Vår",NO
8820,Plakat Head Of A Man By Agnolo Bronzino | Kjente kunstnere,Innlegg fra kategorien historisk kunst med maleriet &quot;Head Of A Man&quot; av den italienske kunstneren Agnolo Bronzino fra år 1550-1555.,https://gallerix-home.no/plakat/8820-head-of-a-man-by-agnolo-bronzino,https://img.gallerix.com/product/google/8820.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,8820,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Beige,Kjente kunstnere,NO
4765,Plakat Wild Flowers By Jacob Maris | Kjente kunstnere,Plakat med maleriet «A Girl with Flowers on the Grass» av den nederlandske kunstneren Jacob Maris fra 1878. Jenta på maleriet er kunstnerens datter. Maris regnes for å være den viktigste og mest innflytelsesrike nederlandske landskapsmaleren mellom årene 1875-1900.,https://gallerix-home.no/plakat/4765-wild-flowers-by-jacob-maris,https://img.gallerix.com/product/google/4765.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,4765,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Beige,Kjente kunstnere,NO
8556,Plakat Retro Adventure | Oljemalerier,"Gi hjemmet ditt et snev av nostalgi og eventyr med denne unike plakaten av en klassisk oransje folkebuss, omgitt av vill natur. De varme jordfargene og den kunstneriske maleteknikken skaper en følelse av frihet, bilturer og bohemsk livsstil.",https://gallerix-home.no/plakat/8556-retro-adventure,https://img.gallerix.com/product/google/8556.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,8556,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Beige/Gul,Oljemalerier,NO
10658,"Plakat Whispering Meadows | Kunstplakater, Japandi",Japandi-plakat inspirert av den japanske kunstneren Yayoi Kusama. Drømmende toner av grønt og gult lyser opp denne plakaten med en eng full av liv og bevegelse. Blomster i overflod og tretopper mot en gylden himmel skaper en følelse av fred og undring. Denne plakaten bringer naturens beroligende tilstedeværelse inn i hjemmet ditt og lar hvert rom fylles med harmoni og skjønnhet.,https://gallerix-home.no/plakat/10658-whispering-meadows,https://img.gallerix.com/product/google/10658.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,10658,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Grønn,"Kunstplakater,Japandi",NO
10585,"Plakat Sakura No Shita No Shijima Japandi | Kunstplakater, Japandi","Denne plakaten fanger essensen av fred og ro under de blomstrende kirsebærblomstene. En ensom skikkelse sitter i en tradisjonell paviljong, omgitt av de myke, røde blomstene som svever mot en hvit bakgrunn. Den enkle elegansen i bildet skaper en følelse av tidløshet og fred.",https://gallerix-home.no/plakat/10585-sakura-no-shita-no-shijima-japandi,https://img.gallerix.com/product/google/10585.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,10585,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Rød,"Kunstplakater,Japandi",NO
5754,"Plakat All Kinds Of Coffee | Fotokunst, Kjøkkenet",Kaffeplakat med fotografi ovenfra av kaffekopper med forskjellige kaffetyper i vakre farger. Perfekt til kjøkkenet.,https://gallerix-home.no/plakat/5754-all-kinds-of-coffee,https://img.gallerix.com/product/google/5754.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,5754,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat,Beige,"Fotokunst,Kjøkkenet",NO
4423,Plakat Eucalyptus No8 | Botaniske,Plakat fra den botaniske kategorien med et fotografi av grønne eukalyptusblader mot en vakker sandfarget teksturert bakgrunn. Bildet har også hvite silhuetter av eukalyptusblader i lav opasitet.,https://gallerix-home.no/plakat/4423-eucalyptus-no8,https://img.gallerix.com/product/google/4423.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,4423,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat,Beige/Grønn,Botaniske,NO
4893,"Plakat Santa Claus And Reindeer Part1 | Julekunst, Festlige høytider",Plakat fra kategorien jul og vinter med illustrasjon av julenissen i slede. Denne plakaten er en del av tre forskjellige design som passer sammen.,https://gallerix-home.no/plakat/4893-santa-claus-and-reindeer-part1,https://img.gallerix.com/product/google/4893.jpg,149.00 NOK,104.30 NOK,in stock,new,Gallerix,4893,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Rød,"Julekunst,Festlige høytider",NO
8559,"Plakat Pages In The Breeze | Sommer, Oljemalerier","Skap en drømmende og inspirerende atmosfære med denne vakre plakaten med bøker som hviler i det solfylte strandgresset, omgitt av tusenfryd med havbølgene i bakgrunnen. De myke fargetonene og den kunstneriske komposisjonen formidler en følelse av ro, fantasi og avslapning.",https://gallerix-home.no/plakat/8559-pages-in-the-breeze,https://img.gallerix.com/product/google/8559.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,8559,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat,Beige/Blå/Gul,"Sommer,Oljemalerier",NO
4473,"Plakat Streetlights In London | Fotokunst, Byer og arkitektur, Svarthvitt",Svart-hvitt plakat med et fotografi av vakre gatelykter langs en gate i London med Elisabeth Tower og Big Ben i bakgrunnen.,https://gallerix-home.no/plakat/4473-streetlights-in-london,https://img.gallerix.com/product/google/4473.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,4473,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat,Svart/Hvitt,"Fotokunst,Byer og arkitektur,Svarthvitt",NO
4831,Plakat Golden Autumn By Isaac Levitan | Kjente kunstnere,"Plakat med maleriet ""Golden Autumn"" av den russiske kunstneren Isaac Levitan fra år 1889.",https://gallerix-home.no/plakat/4831-golden-autumn-by-isaac-levitan,https://img.gallerix.com/product/google/4831.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,4831,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Grønn/Blå/Gul,Kjente kunstnere,NO
8590,Plakat Pensive By Delphin Enjolras | Kjente kunstnere,Plakat med maleriet &quot;Pensive&quot; av den franske kunstneren Delphin Enjolras.,https://gallerix-home.no/plakat/8590-pensive-by-delphin-enjolras,https://img.gallerix.com/product/google/8590.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,8590,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Gul,Kjente kunstnere,NO
9670,Plakat Cozy Coffee Moment | Akvarell,"Fang følelsen av en perfekt morgen med denne elegante illustrasjonen. En kvinne nyter en rykende kopp te eller kaffe, pakket inn i en myk badekåpe, avslappet i en komfortabel lenestol. Med harmoniske farger og stilige penselstrøk skaper plakaten en følelse av ro og velvære.",https://gallerix-home.no/plakat/9670-cozy-coffee-moment,https://img.gallerix.com/product/google/9670.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,9670,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Grønn,Akvarell,NO
3117,Plakat Opening Wine | Kjøkkenet,Post fra kategorien fotokunst med et fotografi av en vinflaske med en korketrekker og en vinkork.,https://gallerix-home.no/plakat/3117-opening-wine,https://img.gallerix.com/product/google/3117.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,3117,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Beige,Kjøkkenet,NO
4536,"Plakat The Swan By Hilma Af Klint | Kunstplakater, Hilma af Klint, Kjente kunstnere",Plakat fra kategorien abstrakt og kunst med motiver malt av den svenske maleren Hilma af Klint i 1915.,https://gallerix-home.no/plakat/4536-the-swan-by-hilma-af-klint,https://img.gallerix.com/product/google/4536.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,4536,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat,Svart,"Kunstplakater,Hilma af Klint,Kjente kunstnere",NO
7720,Plakat Villa Park Vintage Sketch 02 EN | Stadionskisser,"Villa Park, som ligger i Birmingham, England, er det historiske hjemmet til Aston Villa Football Club. Stadionet ble åpnet i 1897 og har en sittekapasitet på rundt 42 000. Villa Park er kjent for sin ikoniske arkitektur og lidenskapelige fanbase, og tilbyr en eksepsjonell kampdagsopplevelse. Stadionet kombinerer tradisjonell sjarm med moderne fasiliteter, inkludert førsteklasses gjestfrihetssuiter og avanserte fasiliteter. Gjennom årene har Villa Park vært vertskap for en rekke minneverdige kamper, inkludert semifinaler i FA-cupen og internasjonale kamper. Det er fortsatt et sentralt knutepunkt for Aston Villa-supportere og et symbol på klubbens rike arv og varige arv i engelsk fotball.",https://gallerix-home.no/plakat/7720-villa-park-vintage-sketch-02-en,https://img.gallerix.com/product/google/7720.jpg,149.00 NOK,,in stock,new,Gallerix,7720,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,,Stadionskisser,NO
4225,"Plakat Dried Bouquet No4 | Botaniske, Fotokunst",Plakat fra den botaniske kategorien med et fotografi av en glassvase med en bukett tørkede planter mot en lysegrå bakgrunn.,https://gallerix-home.no/plakat/4225-dried-bouquet-no4,https://img.gallerix.com/product/google/4225.jpg,149.00 NOK,119.20 NOK,in stock,new,Gallerix,4225,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Grå/Beige,"Botaniske,Fotokunst",NO
