id,title,description,link,image_link,price,sale_price,availability,condition,brand,mpn,google_product_category,product_type,color,custom_label_0,target_country
5994,Plagát Wäscheleine By Johann Sperl | Slávni umelci,Plagát z kategórie historické umenie s obrazom „Wäscheleine“ od nemeckého umelca Johanna Sperla z roku 1915.,https://gallerix.sk/plagat/5994-wascheleine-by-johann-sperl,https://img.gallerix.com/product/google/5994.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,5994,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plagát special,Zelená,Slávni umelci,SK
7857,"Plagát Carefree Days Of Summer | Olejomaľby, Slávnostné sviatky, Veľká noc","Zachyťte radosť z detstva pomocou tohto žiarivého plagátu zobrazujúceho dve deti bežiace po lúke so sedmokráskami pod jasnou modrou letnou oblohou. S energiou a teplom obraz sprostredkuje pocit slobody, hravosti a čistého šťastia. Ideálne na osvetlenie vášho domova a pripomenutie si jednoduchých a krásnych životných chvíľ. Pocta čarovným chvíľam detstva.",https://gallerix.sk/plagat/7857-carefree-days-of-summer,https://img.gallerix.com/product/google/7857.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,7857,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plagát,Biely/Zelená/Modrá,"Olejomaľby,Slávnostné sviatky,Veľká noc",SK
9122,"Plagát Ferrari Le Mans 1958 | Fotografické, Vintage, Motory a vozidlá","Dodajte svojej stene nádych rýchlosti a elegancie s týmto ikonickým plagátom pretekárskeho auta Ferrari Le Mans! S výraznou červenou farbou, aerodynamickými líniami a číslom 21 tento obrázok zvýrazňuje zlatú éru pretekov. Ideálne pre automobilových nadšencov a milovníkov dizajnu, ktorí chcú do domácnosti alebo kancelárie vniesť pocit sily, histórie a triedy. Pocta nadčasovému motoršportu a dedičstvu Ferrari!",https://gallerix.sk/plagat/9122-ferrari-le-mans-1958,https://img.gallerix.com/product/google/9122.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,9122,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plagát,Červená,"Fotografické,Vintage,Motory a vozidlá",SK
7290,Plagát Zlatan Ibrahimovic FC barcelona 2009 B&W | Šport a Cvičenie,Čiernobiely plagát s fotografiou Zlatana Ibrahimoviča v FC Barcelona počas zápasu v španielskom Superpohári v roku 2009.,https://gallerix.sk/plagat/7290-zlatan-ibrahimovic-fc-barcelona-2009-bw,https://img.gallerix.com/product/google/7290.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,7290,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plagát special,Čierna/Biely,Šport a Cvičenie,SK
4483,"Plagát Fulfillment By Gustav Klimt | Umelecké, Gustav Klimt, Slávni umelci","Plagát z kategórie abstraktné a umenie s motívmi, ktoré namaľoval rakúsky umelec Gustav Klimt v roku 1905.",https://gallerix.sk/plagat/4483-fulfillment-by-gustav-klimt,https://img.gallerix.com/product/google/4483.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,4483,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plagát special,Béžová/Žltá,"Umelecké,Gustav Klimt,Slávni umelci",SK
7489,Plagát Stadio San Siro Vintage Sketch 01 EN | Náčrty štadióna,"Štadión San Siro, oficiálne známy ako Stadio Giuseppe Meazza, je ikonický futbalový štadión nachádzajúci sa v Miláne v Taliansku. Bol otvorený v roku 1926 a má kapacitu približne 80 000 miest, čo z neho robí jeden z najväčších štadiónov v Európe. San Siro je domovom pre AC Miláno a Inter Miláno, dva z najprestížnejších talianskych futbalových klubov. Štadión je známy pre svoj charakteristický dizajn s týčiacimi sa špirálovými rampami a elektrickú atmosféru v dňoch zápasov. Hostilo množstvo významných podujatí vrátane zápasov Svetového pohára a finále Ligy majstrov UEFA. San Siro je symbolom bohatého futbalového dedičstva Milána a zostáva centrálnym centrom športu a zábavy.",https://gallerix.sk/plagat/7489-stadio-san-siro-vintage-sketch-01-en,https://img.gallerix.com/product/google/7489.jpg,24.90 EUR,,in stock,new,Gallerix,7489,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plagát special,,Náčrty štadióna,SK
7384,"Plagát Paradise Point Signpost | Fotografické, Leto",Tento krásny plagát zachytáva podstatu letného raja s farebným dreveným nápisom pri nedotknutej pláži. Živé farby a lákavé posolstvá kitesurfingu a relaxácie vytvárajú atmosféru dobrodružstva a pokoja. Ideálne pre inšpirujúce dovolenkové sny a milovníkov pláže.,https://gallerix.sk/plagat/7384-paradise-point-signpost,https://img.gallerix.com/product/google/7384.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,7384,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plagát special,,"Fotografické,Leto",SK
8244,"Plagát Butterfly Meadow | Leto, Olejomaľby, Slávnostné sviatky, Veľká noc","Tento očarujúci plagát zachytáva slnkom zaliaty lesný chodník obklopený rozkvitnutými lúkami, kde sa motýle voľne vznášajú v teplom vánku. Jemné farby a zlaté svetlo vytvárajú pocit pokoja, slobody a kúzla prírody.",https://gallerix.sk/plagat/8244-butterfly-meadow,https://img.gallerix.com/product/google/8244.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8244,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plagát special,Ružová/Červená/Žltá,"Leto,Olejomaľby,Slávnostné sviatky,Veľká noc",SK
10268,"Plagát Vintage Charm | Botanické, Akvarel","Tento plagát zachytáva rustikálnu krásu sedmokrások v elegantnej pruhovanej váze, ktorá navodzuje pocit pokoja a harmónie. Béžové pozadie zvýrazňuje jemné farby kvetov, zatiaľ čo kontrastný vzor vázy dodáva štýlový nádych.",https://gallerix.sk/plagat/10268-vintage-charm,https://img.gallerix.com/product/google/10268.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,10268,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plagát special,Béžová,"Botanické,Akvarel",SK
8379,Plagát Saint John The Baptist In The Wilderness By Caravaggio | Slávni umelci,Príspevok z kategórie známi umelci s obrazom &quot;Saint John The Baptist In The Wilderness&quot; od talianskeho umelca Caravaggia z roku 1604.,https://gallerix.sk/plagat/8379-saint-john-the-baptist-in-the-wilderness-by-caravaggio,https://img.gallerix.com/product/google/8379.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8379,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plagát special,Béžová/Červená,Slávni umelci,SK
