id,title,description,link,image_link,price,sale_price,availability,condition,brand,mpn,google_product_category,product_type,color,custom_label_0,target_country
3364,"Juliste Qaboos Monument | Valokuvat, Kaupungit ja arkkitehtuuri, Kevät","Juliste kategoriasta kaupungit ja arkkitehtuuri valokuvalla Sultan Qaboosin suuresta moskeijasta Muscatissa, Omanin pääkaupungissa.",https://gallerix.fi/juliste/3364-qaboos-monument,https://img.gallerix.com/product/google/3364.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,3364,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Juliste special,Beige/Keltainen,"Valokuvat,Kaupungit ja arkkitehtuuri,Kevät",FI
3488,"Juliste Abstract Texture No1 | Abstrakti, Syksy","Abstrakti juliste, jossa akryylimaalaus viileässä kuviossa. Kauniit vaaleat sävyt kontrastina mustalle.",https://gallerix.fi/juliste/3488-abstract-texture-no1,https://img.gallerix.com/product/google/3488.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,3488,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Juliste special,Beige,"Abstrakti,Syksy",FI
10460,Juliste Zebra Zen | Abstrakti,"Tämä juliste kiinnittää huomion mustavalkoisilla linjoillaan, jotka tanssivat kankaalla harmonisesti. Lakaisevat kuviot luovat vapauden ja luovuuden tunteen, mikä tekee siitä vahvan visuaalisen aksentin missä tahansa huoneessa.",https://gallerix.fi/juliste/10460-zebra-zen,https://img.gallerix.com/product/google/10460.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,10460,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Juliste special,Beige,Abstrakti,FI
4470,Juliste Gazing Lion | Eläimet,"Eläimet-luokan juliste, jossa on valokuva kalliolla makaavasta leijonasta, joka katselee savannille.",https://gallerix.fi/juliste/4470-gazing-lion,https://img.gallerix.com/product/google/4470.jpg,14.90 EUR,11.18 EUR,in stock,new,Gallerix,4470,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Juliste,Beige,Eläimet,FI
8770,"Juliste Natures Winter Majesty | Eläimet, Talvi","Tämä juliste vangitsee lumoavan talvisen hetken, jossa majesteettinen peura seisoo lumisella metsäpolulla korkeiden, huurteen peittämien puiden ympäröimänä. Kohtaus säteilee rauhallisuutta ja mysteeriä, joka on täydellinen luomaan harmonisen tunnelman kotiin. Anna tämän kuvan muistuttaa sinua luonnon kauneudesta ja talven hiljaisuudesta - ajaton sisustus, joka korostaa mitä tahansa huonetta taikuudella ja eleganssilla.",https://gallerix.fi/juliste/8770-natures-winter-majesty,https://img.gallerix.com/product/google/8770.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8770,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Juliste special,Beige,"Eläimet,Talvi",FI
4989,Juliste Fjord Landscape With Farmhouse By P. C. Skovgaard | Kuuluisia taiteilijoita,"Juliste tanskalaisen taiteilijan PC Skovgaardin maalauksella ""Fjord Landscape With Farmhouse"" vuodelta 1838.",https://gallerix.fi/juliste/4989-fjord-landscape-with-farmhouse-by-p-c-skovgaard,https://img.gallerix.com/product/google/4989.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,4989,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Juliste special,,Kuuluisia taiteilijoita,FI
7307,Juliste Neymar Jr Brazil 2016 B&W | Urheilu ja kuntoilu,"Mustavalkoinen juliste, jossa on valokuva brasilialaisesta jalkapallotähdestä Neymar Jr:stä Brasilian ja Tanskan välisessä ottelussa vuoden 2016 olympialaisissa Salvadorissa, Brasiliassa.",https://gallerix.fi/juliste/7307-neymar-jr-brazil-2016-bw,https://img.gallerix.com/product/google/7307.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,7307,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Juliste special,Musta/Valkoinen,Urheilu ja kuntoilu,FI
10559,"Juliste Whisper Of Nature | Valokuvat, Luontoaiheet, Mustavalkoiset","Tämä kaunis juliste vangitsee yksinäisen kukan, joka nousee ylpeänä dramaattista tummaa taustaa vasten luoden hiljaisen voiman ja kauneuden tunteen. Kontrasti kirkkaan kukkapään ja tumman maiseman välillä tarjoaa syvän visuaalisen ja emotionaalisen kokemuksen.",https://gallerix.fi/juliste/10559-whisper-of-nature,https://img.gallerix.com/product/google/10559.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,10559,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Juliste special,Musta/Valkoinen,"Valokuvat,Luontoaiheet,Mustavalkoiset",FI
4780,Juliste The Blue Tiger By David Klocker Ehrenstrah | Kuuluisia taiteilijoita,"Juliste, jossa ruotsalaisen taiteilijan ja hovimaalari David Klöcker Ehrenstrahlin maalaus ""Sininen tiikeri"" vuodelta 1673. Maalaus on muotokuva Kaarle XI:n hevosesta Blue Tiger.",https://gallerix.fi/juliste/4780-the-blue-tiger-by-david-klocker-ehrenstrah,https://img.gallerix.com/product/google/4780.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,4780,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Juliste special,Beige,Kuuluisia taiteilijoita,FI
5118,Juliste Vase Af White Lilacs And Roses By Edouard Manet | Kuuluisia taiteilijoita,"Juliste, jossa on ranskalaisen taiteilijan Édouard Manet'n maalaus ""Vase Of White Lilacs And Roses"" vuodelta 1883. Édouard Manet (1832-1883) oli ranskalainen taiteilija, jota pidetään usein realismin eturivin edustajana Ranskassa. Hänet tunnetaan monien kiistanalaisten teosten luomisesta, kuten ""Olympia"" (1863) ja ""Le Dejeuner sur l'herbe"" (1863). Hän oli myös yksi ensimmäisistä moderneista taiteilijoista, ja hänen tyylinsä yhdisti akateemiset perinteet moderneihin malleihin. Manet'n tyyli oli ainutlaatuinen ja sisälsi sekä perinteisiä että moderneja elementtejä. Hän käytti teoksissaan usein teräviä kontrasteja vaaleiden ja tummien alueiden välillä, mikä antoi niille vahvan dynaamisuuden tunteen. Hänen kykynsä yhdistää perinteistä taidetta moderneihin vaikutteisiin teki hänestä kuvataiteen uudistajan.",https://gallerix.fi/juliste/5118-vase-af-white-lilacs-and-roses-by-edouard-manet,https://img.gallerix.com/product/google/5118.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,5118,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Juliste special,Vihreä/Punainen,Kuuluisia taiteilijoita,FI
2894,Juliste Torronsuo Wilderness | Luontoaiheet,Juliste Luonto-kategoriasta jossa hieno luontokuva. Rauhallinen maisema Suomen Torronsuolta jossa puukuja juoksee maiseman läpi sumuisessa auringonlaskussa.,https://gallerix.fi/juliste/2894-torronsuo-wilderness,https://img.gallerix.com/product/google/2894.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,2894,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Juliste,Vihreä,Luontoaiheet,FI
7514,Juliste King Power Stadium Vintage Sketch 01 EN | Stadionluonnoksia,"King Power Stadium, joka sijaitsee Leicesterissä, Englannissa, on Leicester City Football Clubin kotikenttä. Vuonna 2002 avatulla stadionilla on noin 32 000 istumapaikkaa. Modernista suunnittelustaan ​​ja erinomaisista tiloistaan ​​tunnettu King Power Stadium tarjoaa faneille upean ottelupäiväkokemuksen. Siitä tuli maailmankuulu, kun Leicester City voitti Valioliigan mestaruuden kaudella 2015-2016, historiallinen saavutus englantilaisessa jalkapallossa. Stadionilla on upeat näköalat ja eloisa tunnelma, mikä tekee siitä kotijoukkueen linnoituksen. King Power Stadium symboloi Leicester Cityn kunnianhimoa ja menestystä.",https://gallerix.fi/juliste/7514-king-power-stadium-vintage-sketch-01-en,https://img.gallerix.com/product/google/7514.jpg,24.90 EUR,,in stock,new,Gallerix,7514,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Juliste special,,Stadionluonnoksia,FI
8615,Juliste Sunset By Edward Mitchell Bannister | Kuuluisia taiteilijoita,Juliste amerikkalaisen taiteilijan Edward Mitchell Bannisterin maalauksella &quot;Auringonlasku&quot; vuosina 1875-1880.,https://gallerix.fi/juliste/8615-sunset-by-edward-mitchell-bannister,https://img.gallerix.com/product/google/8615.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8615,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Juliste special,Keltainen,Kuuluisia taiteilijoita,FI
