id,title,description,link,image_link,price,sale_price,availability,condition,brand,mpn,google_product_category,product_type,color,custom_label_0,target_country
5013,Poster Lion Portrait | Kinderposters,Poster voor de kinderkamer met een aquarel illustratie van een leeuw.,https://gallerix.be/poster/5013-lion-portrait,https://img.gallerix.com/product/google/5013.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,5013,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Beige/Geel,Kinderposters,BE
2929,"Poster Sanna Wieslander Free Spirit | Zwart wit, Sanna Wieslander",De schetsen van Sanna Wieslander zijn volledig met de hand getekend met potlood en inkt en vervolgens gedrukt op posterpapier.,https://gallerix.be/poster/2929-sanna-wieslander-free-spirit,https://img.gallerix.com/product/google/2929.jpg,14.90 EUR,,in stock,new,Gallerix,2929,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Zwart/Wit/Fehér,"Zwart wit,Sanna Wieslander",BE
10075,"Poster Glamorous Arachnid | Feestdagen, Halloween",Trek de aandacht met deze elegante poster waarop een vrouw in een zwart-wit gestreepte jurk danst met een spinnenweb. Haar dramatische hoed en kleurrijke make-up geven een moderne draai aan de klassieke schoonheid.,https://gallerix.be/poster/10075-glamorous-arachnid,https://img.gallerix.com/product/google/10075.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,10075,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Grijs/Rood,"Feestdagen,Halloween",BE
7699,Poster Stadio Olimpico Vintage Sketch 02 EN | Stadionschetsen,"Stadio Olimpico, gelegen in Rome, Italië, is een historisch multifunctioneel stadion dat dient als thuisbasis voor zowel AS Roma als SS Lazio voetbalclubs. Het werd geopend in 1953 en heeft een capaciteit van ongeveer 70.000 zitplaatsen, waardoor het een van de grootste stadions van Italië is. Stadio Olimpico staat bekend om zijn onderscheidende ontwerp en levendige sfeer en heeft talloze belangrijke evenementen georganiseerd, waaronder de Olympische Zomerspelen van 1960, FIFA Wereldbeker-wedstrijden en de UEFA Champions League-finales. Het stadion beschikt over moderne faciliteiten en garandeert een eersteklas ervaring voor de fans. Stadio Olimpico staat symbool voor het rijke sporterfgoed van Rome en blijft een centraal knooppunt voor grote sport- en entertainmentevenementen.",https://gallerix.be/poster/7699-stadio-olimpico-vintage-sketch-02-en,https://img.gallerix.com/product/google/7699.jpg,24.90 EUR,,in stock,new,Gallerix,7699,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,,Stadionschetsen,BE
8827,Poster Valley Of The Yosemite First Snowfall Of The Year By Albert Bierstadt | Beroemde kunstenaars,Inzending uit de categorie historische kunst met het schilderij &quot;Valley Of The Yosemite First Snowfall Of The Year&quot; van de Duits-Amerikaanse kunstenaar Albert Bierstadt uit het jaar 1863.,https://gallerix.be/poster/8827-valley-of-the-yosemite-first-snowfall-of-the-year-by-albert-bierstadt,https://img.gallerix.com/product/google/8827.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8827,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Beige/Blauw,Beroemde kunstenaars,BE
9620,"Poster The Gift Of Giving | Kerst, Feestdagen","Deze kleurrijke poster staat vol met prachtig ingepakte pakjes in de kleuren rood, groen, geel en roze, versierd met grote strikken. Het speelse en feestelijke ontwerp verspreidt vreugde en verwachting, perfect om een ​​warme en uitnodigende sfeer in uw huis te creëren tijdens Kerstmis en de rest van de winter.",https://gallerix.be/poster/9620-the-gift-of-giving,https://img.gallerix.com/product/google/9620.jpg,14.90 EUR,10.43 EUR,in stock,new,Gallerix,9620,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Rood,"Kerst,Feestdagen",BE
7046,"Poster Mediterranean Quietude | Fotokunst, Steden en Architectuur","Poster uit de categorie fotokunst met een afbeelding van een charmant en zonovergoten steegje met oude panden met karakteristiek verweerd pleisterwerk en architectonische details. Langs de gevel van het huis staan ​​grote, mooie potten. Gepatineerde muren in warme beige tinten worden aangevuld met een houten deur en een luik in een vervaagde terracottakleur. De texturen en kleurtonen brengen het gevoel over van een rustige middag in het Middellandse Zeegebied.",https://gallerix.be/poster/7046-mediterranean-quietude,https://img.gallerix.com/product/google/7046.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,7046,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Beige/Groen,"Fotokunst,Steden en Architectuur",BE
8468,Poster The Four Times Of Day Night By Claude Joseph Vernet | Beroemde kunstenaars,Poster uit de categorie bekende kunstenaars met het schilderij &quot;The Four Times Of Day-Night&quot; van de Franse kunstenaar Claude Joseph Vernet uit het jaar 1757.,https://gallerix.be/poster/8468-the-four-times-of-day-night-by-claude-joseph-vernet,https://img.gallerix.com/product/google/8468.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8468,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Beige/Blauw,Beroemde kunstenaars,BE
8282,Poster Moses Shown The Promised Land By Benjamin West | Beroemde kunstenaars,Inzending uit de categorie beroemde kunstenaars met het schilderij &quot;Moses Shown The Promised Land&quot; van de Amerikaanse kunstenaar Benjamin West uit het jaar 1801.,https://gallerix.be/poster/8282-moses-shown-the-promised-land-by-benjamin-west,https://img.gallerix.com/product/google/8282.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8282,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Rood,Beroemde kunstenaars,BE
7376,"Poster Amalfi Coast Haven | Fotokunst, Natuur, Steden en Architectuur, Zomer",Dompel jezelf onder in Italiaanse charme met deze prachtige poster van een pittoresk kustplaatsje aan de kust van Amalfi aan de Middellandse Zee. De pastelkleurige gebouwen en het rustige strand omringd door majestueuze kliffen zorgen voor een idyllische sfeer. Perfect om van uw huis een mediterrane oase te maken.,https://gallerix.be/poster/7376-amalfi-coast-haven,https://img.gallerix.com/product/google/7376.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,7376,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Blauw,"Fotokunst,Natuur,Steden en Architectuur,Zomer",BE
8392,Poster Young Pug By Carl Reichert | Beroemde kunstenaars,Poster uit de categorie bekende kunstenaars met het schilderij &quot;Jonge mopshond&quot; van de Oostenrijkse kunstenaar Carl Reichert.,https://gallerix.be/poster/8392-young-pug-by-carl-reichert,https://img.gallerix.com/product/google/8392.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8392,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Beige/Rood,Beroemde kunstenaars,BE
4790,Poster The Red Tree By Piet Mondrian | Beroemde kunstenaars,"Poster met het schilderij ""The Red Tree"" van de Nederlandse kunstenaar Piet Mondriaan uit de jaren 1908-1910. Mondriaan was een belangrijke pionier van de abstracte kunst en algemeen bekend om zijn composities met geometrische vormen en primaire kleuren. Hij wordt beschouwd als een van de grootste kunstenaars van de 20e eeuw.",https://gallerix.be/poster/4790-the-red-tree-by-piet-mondrian,https://img.gallerix.com/product/google/4790.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,4790,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Blauw/Rood,Beroemde kunstenaars,BE
8656,Poster An Artist Showing His Work By Ernest Meissonier | Beroemde kunstenaars,Affiche met het schilderij &quot;Een kunstenaar toont zijn werk&quot; van de Franse kunstenaar Ernest Meissonier uit de jaren 1900.,https://gallerix.be/poster/8656-an-artist-showing-his-work-by-ernest-meissonier,https://img.gallerix.com/product/google/8656.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8656,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Geel,Beroemde kunstenaars,BE
8860,Poster O Rata By Amadeo De Souza Cardoso | Beroemde kunstenaars,Inzending uit de categorie historische kunst met het schilderij &quot;O Rata&quot; van de Portugese kunstenaar Amadeo De Souza Cardoso uit het jaar 1914-1915.,https://gallerix.be/poster/8860-o-rata-by-amadeo-de-souza-cardoso,https://img.gallerix.com/product/google/8860.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8860,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Blauw,Beroemde kunstenaars,BE
