id,title,description,link,image_link,price,sale_price,availability,condition,brand,mpn,google_product_category,product_type,color,custom_label_0,target_country
4765,Plakát Wild Flowers By Jacob Maris | Slavní umělci,"Plakát s obrazem ""A Girl with Flowers on the Grass"" od holandského umělce Jacoba Marise z roku 1878. Dívka na obraze je umělcova dcera. Maris je považován za nejvýznamnějšího a nejvlivnějšího holandského krajináře v letech 1875-1900.",https://gallerix.cz/plakat/4765-wild-flowers-by-jacob-maris,https://img.gallerix.com/product/google/4765.jpg,299.00 CZK,239.20 CZK,in stock,new,Gallerix,4765,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakát special,Béžový,Slavní umělci,CZ
6121,"Plakát Snow Covered Pine Cones | Vánoce, Zima, Slavnostní svátky",Plakát z kategorie Zima a Vánoce s akvarelovou malbou zasněžených šišek na větvi.,https://gallerix.cz/plakat/6121-snow-covered-pine-cones,https://img.gallerix.com/product/google/6121.jpg,299.00 CZK,209.30 CZK,in stock,new,Gallerix,6121,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakát,Zelená,"Vánoce,Zima,Slavnostní svátky",CZ
5558,Plakát A Map Of Europe | Grafické Umění,Plakát s mapou Evropy v odstínech béžové. Text na mapě je psán v angličtině.,https://gallerix.cz/plakat/5558-a-map-of-europe,https://img.gallerix.com/product/google/5558.jpg,239.20 CZK,,in stock,new,Gallerix,5558,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakát special,Béžový,Grafické Umění,CZ
6105,"Plakát Julbocken By John Bauer | Vánoce, John Bauer, Slavnostní svátky","Plakát s obrazem ""Julbocken"" od Johna Bauera z roku 1911. Obraz byl obrázkem ""Julbocken: Vánoční časopis pro velké i malé děti"".",https://gallerix.cz/plakat/6105-julbocken-by-john-bauer,https://img.gallerix.com/product/google/6105.jpg,299.00 CZK,209.30 CZK,in stock,new,Gallerix,6105,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakát special,Červená,"Vánoce,John Bauer,Slavnostní svátky",CZ
10715,"Plakát The Firmament above the temple By Paul Klee | Umění, Slavní umělci",Plakát z kategorie uměleckých tisků s obrazem „Keba nad chrámem“ od německo-švýcarského umělce Paula Kleeho z roku 1922.,https://gallerix.cz/plakat/10715-the-firmament-above-the-temple-by-paul-klee,https://img.gallerix.com/product/google/10715.jpg,299.00 CZK,239.20 CZK,in stock,new,Gallerix,10715,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakát special,Zelená,"Umění,Slavní umělci",CZ
7630,Plakát Craven Cottage Vintage Sketch 02 EN | Skici arény,"Craven Cottage, který se nachází v Londýně v Anglii, je historickým domovem fotbalového klubu Fulham. Stadion, který byl otevřen v roce 1896, leží půvabně na břehu řeky Temže a má kapacitu přibližně 24 500 míst. Craven Cottage, známý svou jedinečnou architekturou, včetně ikonického pavilonu Cottage, vyzařuje klasickou fotbalovou atmosféru. Zachovala si mnoho ze svého tradičního kouzla a zároveň zahrnuje moderní zařízení. Stadion je milován fanoušky pro jeho intimní prostředí a bohatou historii, díky čemuž je neodmyslitelnou součástí anglického fotbalového dědictví.",https://gallerix.cz/plakat/7630-craven-cottage-vintage-sketch-02-en,https://img.gallerix.com/product/google/7630.jpg,299.00 CZK,,in stock,new,Gallerix,7630,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakát special,,Skici arény,CZ
4842,"Plakát Christmas Gifts | Vánoce, Slavnostní svátky",Plakát z kategorie zima a Vánoce s fotografií vánočních dárků v hnědém balicím papíru na zelených vánočních rostlinách.,https://gallerix.cz/plakat/4842-christmas-gifts,https://img.gallerix.com/product/google/4842.jpg,299.00 CZK,209.30 CZK,in stock,new,Gallerix,4842,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakát special,Béžový/Zelená,"Vánoce,Slavnostní svátky",CZ
8460,"Plakát Winters Young Heart | Zvířata, Zima","Zachyťte krásu a nevinnost přírody tímto okouzlujícím plakátem mladého jelena na klidné louce. Jemné tóny a detailní tahy štětcem vytvářejí harmonickou a snovou atmosféru, která je ideální pro vnesení klidu a elegance do vašeho domova. Teplé, tlumené barvy obrazu ladí s moderním dekorem a zároveň vytvářejí pocit blízkosti zázraků přírody. Pokojný dotek do každé místnosti.",https://gallerix.cz/plakat/8460-winters-young-heart,https://img.gallerix.com/product/google/8460.jpg,299.00 CZK,239.20 CZK,in stock,new,Gallerix,8460,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakát special,Béžový,"Zvířata,Zima",CZ
3778,Plakát African Lion | Zvířata,Plakát na výšku z kategorie Zvířata s krásnou fotografií v detailu samce lva afrického. Tento plakát je dobře kombinovatelný s dalšími plakáty z kategorie Zvířata.,https://gallerix.cz/plakat/3778-african-lion,https://img.gallerix.com/product/google/3778.jpg,299.00 CZK,224.30 CZK,in stock,new,Gallerix,3778,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakát special,Béžový,Zvířata,CZ
3885,"Plakát Bondi Beach Surfer | Fotografické umění, Černobílé",Černobílý fotografický umělecký plakát s fotografií ženy sedící na surfovém prkně na pláži u moře.,https://gallerix.cz/plakat/3885-bondi-beach-surfer,https://img.gallerix.com/product/google/3885.jpg,299.00 CZK,239.20 CZK,in stock,new,Gallerix,3885,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakát special,Černý/Bílý,"Fotografické umění,Černobílé",CZ
7761,Plakát Morning Forest Rays | Obrázky přírody,"Tento plakát zachycuje kouzelné ráno v lese, kde se sluneční paprsky prodívají hustým listím a vytvářejí nádhernou hru světel a stínů. Vysoké stromy se majestátně tyčí, zatímco měkké světlo šíří nad lesem pocit klidu a ticha. Mlžná atmosféra a dlouhé stíny umocňují dojem kouzelného místa, které je ideální pro vnesení přirozeného klidu a tajemna do vašeho domova.",https://gallerix.cz/plakat/7761-morning-forest-rays,https://img.gallerix.com/product/google/7761.jpg,299.00 CZK,239.20 CZK,in stock,new,Gallerix,7761,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakát,Zelená,Obrázky přírody,CZ
5911,"Plakát Manhattan New York No2 | Fotografické umění, Města a Architektura",Plakát z kategorie města a architektura se skvělou fotografií Manhattanu v New Yorku.,https://gallerix.cz/plakat/5911-manhattan-new-york-no2,https://img.gallerix.com/product/google/5911.jpg,299.00 CZK,239.20 CZK,in stock,new,Gallerix,5911,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakát,Béžový,"Fotografické umění,Města a Architektura",CZ
10676,Plakát Gentle Mirage | Abstraktní,Tento plakát zachycuje jemnou krásu svými jemnými béžovými odstíny a vytváří atmosféru klidu a sofistikovanosti. Jemné textury v barvě dodávají hloubku a pocit klidu. Ideální pro přeměnu každé místnosti na harmonickou svatyni.,https://gallerix.cz/plakat/10676-gentle-mirage,https://img.gallerix.com/product/google/10676.jpg,299.00 CZK,239.20 CZK,in stock,new,Gallerix,10676,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakát special,Béžový,Abstraktní,CZ
