id,title,description,link,image_link,price,sale_price,availability,condition,brand,mpn,google_product_category,product_type,color,custom_label_0,target_country
10553,"Plakat Umbrella Of Love | Fotografia, Czarno-białe","Plakat przedstawia romantyczne spotkanie pod parasolem, gdzie dwie sylwetki łączą się w ponadczasowym uścisku. Otaczające teren nagie drzewa tworzą atmosferę ciszy i intymności, a delikatny kontrast między światłem i cieniem potęguje poczucie wiecznej miłości.",https://gallerix.pl/plakat/10553-umbrella-of-love,https://img.gallerix.com/product/google/10553.jpg,59.00 PLN,47.20 PLN,in stock,new,Gallerix,10553,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Czarny/Biały,"Fotografia,Czarno-białe",PL
7531,Plakat Strawberry Arena Vintage Sketch 01 EN | Szkice stadionów,"Strawberry Arena, zlokalizowana w Sztokholmie, to narodowy stadion piłkarski Szwecji i siedziba drużyny AIK. Otwarta w 2012 roku arena może pomieścić do 50 000 widzów podczas wydarzeń sportowych i do 75 000 widzów podczas innych wydarzeń. Dzięki nowoczesnemu designowi i najnowocześniejszym udogodnieniom Strawberry Arena oferuje odwiedzającym najwyższej klasy wrażenia. Stadion posiada rozsuwany dach, co pozwala na organizację imprez przez cały rok, niezależnie od pogody. Oprócz meczów piłki nożnej i koncertów na arenie odbywają się ważne wydarzenia, takie jak Melodifestivalen i międzynarodowe konkursy. Strawberry Arena to symbol szwedzkiego sportu i kultury, służąca jako centralne miejsce wydarzeń zarówno krajowych, jak i międzynarodowych.",https://gallerix.pl/plakat/7531-strawberry-arena-vintage-sketch-01-en,https://img.gallerix.com/product/google/7531.jpg,59.00 PLN,,in stock,new,Gallerix,7531,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,,Szkice stadionów,PL
9764,"Plakat Present | Grafika, Sztuka","Zachwyć się magiczną grą kolorów i kształtów – harmonią, która uchwyca chwile w splocie błękitu i różu. Abstrakcyjne figury tańczą na skrzyżowaniu czasów, obejmując teraźniejszość.",https://gallerix.pl/plakat/9764-present,https://img.gallerix.com/product/google/9764.jpg,59.00 PLN,47.20 PLN,in stock,new,Gallerix,9764,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Beżowy/Niebieski,"Grafika,Sztuka",PL
9286,"Plakat Path Of Roses | Botanika, Wiosna, Obrazy olejne",Wyobraź sobie magiczny spacer po ogrodzie różanym skąpanym w złotym słońcu. Ten romantyczny plakat oddaje piękno ciszy natury za pomocą delikatnych pastelowych kolorów i cudownego poczucia spokoju. Idealny do stworzenia harmonijnej i wymarzonej atmosfery w Twoim domu. Niech „Rosenstigen” stanie się symbolem elegancji i wiecznego rozkwitu w Twoim wnętrzu,https://gallerix.pl/plakat/9286-path-of-roses,https://img.gallerix.com/product/google/9286.jpg,59.00 PLN,47.20 PLN,in stock,new,Gallerix,9286,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat,Zielony/Różowy,"Botanika,Wiosna,Obrazy olejne",PL
4007,Plakat Falling Underwater | Koncepcyjne i Surrealistyczne,Plakat przedstawiający kobietę wpadającą do wody i tonącą w głębokim morzu.,https://gallerix.pl/plakat/4007-falling-underwater,https://img.gallerix.com/product/google/4007.jpg,59.00 PLN,47.20 PLN,in stock,new,Gallerix,4007,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Zielony/Niebieski,Koncepcyjne i Surrealistyczne,PL
4582,"Plakat Jim Carrey Jeff Daniels | Kultowe zdjęcia, Czarno-białe",Plakat z czarno-białą fotografią Jima Carreya i Jeffa Danielsa z filmu Dumb and Dumber z 1994 roku. To zdjęcie należy do naszej kolekcji kultowych fotografii celebrytów.,https://gallerix.pl/plakat/4582-jim-carrey-jeff-daniels,https://img.gallerix.com/product/google/4582.jpg,59.00 PLN,47.20 PLN,in stock,new,Gallerix,4582,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat,Czarny/Biały,"Kultowe zdjęcia,Czarno-białe",PL
6887,"Plakat Illuminated Winter Street | Fotografia, Miasta i architektura, Zima",Plakat z kategorii miasta i architektura ze zdjęciem zimowej ulicy z pięknym oświetleniem.,https://gallerix.pl/plakat/6887-illuminated-winter-street,https://img.gallerix.com/product/google/6887.jpg,59.00 PLN,47.20 PLN,in stock,new,Gallerix,6887,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat,Beżowy/Żółty,"Fotografia,Miasta i architektura,Zima",PL
6648,Plakat Tennis Racket & Court | Sport i Trening,Plakat z kategorii sport ze zdjęciem rakiety tenisowej z piłkami na korcie tenisowym.,https://gallerix.pl/plakat/6648-tennis-racket-court,https://img.gallerix.com/product/google/6648.jpg,59.00 PLN,47.20 PLN,in stock,new,Gallerix,6648,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Czerwony,Sport i Trening,PL
8384,Plakat Self-Portrait By Carl Larsson | Znany artysta,Plakat z kategorii znani artyści z obrazem „Autoportret” szwedzkiego artysty Carla Larssona z roku 1905.,https://gallerix.pl/plakat/8384-self-portrait-by-carl-larsson,https://img.gallerix.com/product/google/8384.jpg,59.00 PLN,47.20 PLN,in stock,new,Gallerix,8384,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat special,Czerwony,Znany artysta,PL
3947,"Plakat Venice Beach Surf Van | Fotografia, Vintage, Lato, Silniki i pojazdy","Sztuka fotograficzna i plakat vintage z fotografią na starym klasycznym minibusie Volkswagena z deskami surfingowymi na dachu Venice Beach, Kalifornia, USA. Piękne z palmami i jasnym niebem w tle.",https://gallerix.pl/plakat/3947-venice-beach-surf-van,https://img.gallerix.com/product/google/3947.jpg,59.00 PLN,47.20 PLN,in stock,new,Gallerix,3947,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat,Zielony/Żółty,"Fotografia,Vintage,Lato,Silniki i pojazdy",PL
5661,Plakat Teddy Bear Picking Stars | Dla dzieci,Plakat dla dzieci z ilustracją małego misia siedzącego na chmurce i zbierającego gwiazdki.,https://gallerix.pl/plakat/5661-teddy-bear-picking-stars,https://img.gallerix.com/product/google/5661.jpg,59.00 PLN,47.20 PLN,in stock,new,Gallerix,5661,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat,Biały/Beżowy,Dla dzieci,PL
4326,"Plakat Winter In The Alps | Natura, Świąteczna, Zima, Święta sezonowe",Plakat z kategorii natura z fotografią na uroczym pięknym zimowym krajobrazie z małą drewnianą chatką pokrytą śniegiem z lasem i górami w tle.,https://gallerix.pl/plakat/4326-winter-in-the-alps,https://img.gallerix.com/product/google/4326.jpg,59.00 PLN,41.30 PLN,in stock,new,Gallerix,4326,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Plakat,Biały/Niebieski,"Natura,Świąteczna,Zima,Święta sezonowe",PL
