id,title,description,link,image_link,price,sale_price,availability,condition,brand,mpn,google_product_category,product_type,color,custom_label_0,target_country
9281,"Póster The Blooming Market | Plantas y Flores, Primavera, Pinturas al óleo, Fiestas festivas, Pascua","Este cartel te lleva a un encantador mercado de flores lleno de coloridos ramos y rayos de sol bailando entre la vegetación. Con sus colores vibrantes y su atmósfera romántica, captura la esencia de una mañana tranquila en una calle próspera. Perfecto para crear calidez y vida en tu hogar, y un tributo atemporal a la belleza de la naturaleza y su infinita variedad.",https://gallerix.es/poster/9281-the-blooming-market,https://img.gallerix.com/product/google/9281.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,9281,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Póster,Rojo/Amarillo,"Plantas y Flores,Primavera,Pinturas al óleo,Fiestas festivas,Pascua",ES
4944,Póster Landscape By Albert Bierstadt | Artistas famosos,"Póster con el cuadro ""Paisaje"" del artista germano-estadounidense Albert Bierstadt (1830-1902).",https://gallerix.es/poster/4944-landscape-by-albert-bierstadt,https://img.gallerix.com/product/google/4944.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,4944,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Póster special,Azul,Artistas famosos,ES
8815,Póster Three Peasants At An Inn By Adriaen Van Ostade | Artistas famosos,Entrada de la categoría de arte histórico con el cuadro &quot;Tres campesinos en una posada&quot; del artista holandés Adriaen Van Ostade.,https://gallerix.es/poster/8815-three-peasants-at-an-inn-by-adriaen-van-ostade,https://img.gallerix.com/product/google/8815.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8815,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Póster special,Beige,Artistas famosos,ES
9756,"Póster Always | Abstracto, Arte","Cambiante como las estaciones, pero eterno como las estrellas: este póster captura la esencia atemporal del amor con su diseño minimalista. Los cálidos tonos tierra contrastan armoniosamente con los tonos verdes apagados, creando un equilibrio visual que se adapta perfectamente a cualquier estancia.",https://gallerix.es/poster/9756-always,https://img.gallerix.com/product/google/9756.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,9756,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Póster,Beige/Verde,"Abstracto,Arte",ES
5283,"Póster William Morris Chrysanthemum 1877 | William Morris, Arte","Póster con una ilustración del patrón ""Crisantemo"" creado por el artista británico William Morris en 1877.",https://gallerix.es/poster/5283-william-morris-chrysanthemum-1877,https://img.gallerix.com/product/google/5283.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,5283,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Póster special,Azul,"William Morris,Arte",ES
10584,"Póster Myojin Torii Japandi | Arte, Japandi","Este cartel llama la atención con un impresionante sol rojo que se eleva detrás de una majestuosa montaña, simbolizando la belleza escénica de Japón. El dramático paisaje se ve realzado por la sutil niebla primaveral que lo recorre y por la puerta torii sagrada en primer plano.",https://gallerix.es/poster/10584-myojin-torii-japandi,https://img.gallerix.com/product/google/10584.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,10584,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Póster special,Rojo,"Arte,Japandi",ES
2616,"Póster Watercolor Flower | Plantas y Flores, Primavera, Acuarela",Póster con un bonito motivo de una flor rosa pintada a la acuarela.,https://gallerix.es/poster/2616-watercolor-flower,https://img.gallerix.com/product/google/2616.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,2616,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Póster special,Rosado,"Plantas y Flores,Primavera,Acuarela",ES
8264,Póster Self-Portrait By Arnold Peter Weisz Kubincan | Artistas famosos,Póster de la categoría artistas famosos con el cuadro &quot;Autorretrato&quot; del artista eslovaco Arnold Peter Weisz Kubincan del año 1927.,https://gallerix.es/poster/8264-self-portrait-by-arnold-peter-weisz-kubincan,https://img.gallerix.com/product/google/8264.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8264,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Póster special,Gris/Beige,Artistas famosos,ES
5958,Póster View Over The Rhine At Düsseldorf By Victor Westerholm | Artistas famosos,"Póster de la categoría Arte histórico con el cuadro ""Vista sobre el Rin en Düsseldorf"" del artista finlandés Victor Westerholm del año 1883.",https://gallerix.es/poster/5958-view-over-the-rhine-at-dusseldorf-by-victor-westerholm,https://img.gallerix.com/product/google/5958.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,5958,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Póster special,Beige/Azul,Artistas famosos,ES
10685,"Póster Flight Of Serenity | Arte, Japandi",Este cartel captura la esencia de la libertad con grullas blancas volando hacia arriba contra un fondo verde bosque profundo. El movimiento armonioso de los pájaros da una sensación de quietud y elegancia que llena la estancia de calma.,https://gallerix.es/poster/10685-flight-of-serenity,https://img.gallerix.com/product/google/10685.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,10685,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Póster special,Verde,"Arte,Japandi",ES
