id,title,description,link,image_link,price,sale_price,availability,condition,brand,mpn,google_product_category,product_type,color,custom_label_0,target_country
5328,Poster Highland Cow | Tiere,Poster aus der Kategorie Tiere mit einer schönen Nahaufnahme einer langhaarigen schottischen Highlander-Kuh.,https://gallerix.de/poster/5328-highland-cow,https://img.gallerix.com/product/google/5328.jpg,14.90 EUR,11.18 EUR,in stock,new,Gallerix,5328,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Beige,Tiere,DE
5841,"Poster Vintage Drinks Drawing | Vintage, Küchenposter, Line art","Poster im Vintage-Stil mit einer Illustration von Menschen, die vor einem sandfarbenen Hintergrund Getränke anstoßen.",https://gallerix.de/poster/5841-vintage-drinks-drawing,https://img.gallerix.com/product/google/5841.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,5841,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Gelb,"Vintage,Küchenposter,Line art",DE
10596,"Poster Akai Kaede Japandi | Kunstposter, Japandi","Erleben Sie eine harmonische Verschmelzung von Rot und der Eleganz der Natur auf diesem Poster, auf dem ein roter Ahorn majestätisch vor einer sanften Berglandschaft thront. Die warme Farbpalette aus Gold und Rot fängt den Geist des Herbstes ein und lädt Sie in eine Welt der Ruhe und Schönheit ein.",https://gallerix.de/poster/10596-akai-kaede-japandi,https://img.gallerix.com/product/google/10596.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,10596,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Rot/Gelb,"Kunstposter,Japandi",DE
2819,"Poster Hot Air Balloons | Fotokunst, Sommer",Poster aus der Kategorie Fotokunst mit Fotografie in wunderschönen Farben auf Luftballons vor einem türkisblauen Himmel.,https://gallerix.de/poster/2819-hot-air-balloons,https://img.gallerix.com/product/google/2819.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,2819,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Blau,"Fotokunst,Sommer",DE
9550,"Poster Lazy Afternoon Nap | Aquarell, Hunde","Dieses wunderschöne Poster zeigt einen Golden Retriever, der friedlich auf einem gestreiften Kissen auf einem grünen Sofa schläft. Die warmen Farben und die ruhige Atmosphäre vermitteln ein Gefühl von Harmonie und Geborgenheit. Perfekt, um Ihrem Zuhause eine gemütliche und einladende Atmosphäre zu verleihen.",https://gallerix.de/poster/9550-lazy-afternoon-nap,https://img.gallerix.com/product/google/9550.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,9550,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Grün,"Aquarell,Hunde",DE
10239,Poster Artful Contrast | Aquarell,Dieses Poster fällt durch seine starken Schwarz-Weiß-Kontraste und die stilvolle Linienführung auf. Die sitzende und nachdenkende Figur vermittelt ein Gefühl von Tiefe und Stille und erzeugt einen kultivierten und zum Nachdenken anregenden Ausdruck.,https://gallerix.de/poster/10239-artful-contrast,https://img.gallerix.com/product/google/10239.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,10239,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Schwarz,Aquarell,DE
5913,"Poster Life In Paris France | Fotokunst, Städte und Architektur","Poster aus der Kategorie „Städte und Fotokunst“ mit einem Foto eines Fahrrads, das an einer schönen Fassade eines Hauses in Paris geparkt ist.",https://gallerix.de/poster/5913-life-in-paris-france,https://img.gallerix.com/product/google/5913.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,5913,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Beige/Grün,"Fotokunst,Städte und Architektur",DE
8615,Poster Sunset By Edward Mitchell Bannister | Berühmte Künstler,Plakat mit dem Gemälde „Sunset“ des amerikanischen Künstlers Edward Mitchell Bannister aus den Jahren 1875–1880.,https://gallerix.de/poster/8615-sunset-by-edward-mitchell-bannister,https://img.gallerix.com/product/google/8615.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8615,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Gelb,Berühmte Künstler,DE
4691,"Poster Versace Fashion | Mode, Schwarz-Weiß",Schwarz-Weiß Poster aus der Kategorie Mode mit einem Foto einer Frau mit Hunden und der Luxusmarke Versaces.,https://gallerix.de/poster/4691-versace-fashion,https://img.gallerix.com/product/google/4691.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,4691,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Schwarz/Weiß,"Mode,Schwarz-Weiß",DE
8850,Poster La Dame En Bleu By Alfred Stevens | Berühmte Künstler,Beitrag aus der Kategorie historische Kunst mit dem Gemälde „La Dame En Bleu“ des belgischen Künstlers Alfred Stevens.,https://gallerix.de/poster/8850-la-dame-en-bleu-by-alfred-stevens,https://img.gallerix.com/product/google/8850.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8850,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Blau,Berühmte Künstler,DE
5110,Poster Garden In May By Maria Oakey Dewing | Berühmte Künstler,"Poster mit dem Gemälde ""Garden In May"" der amerikanischen Künstlerin Maria Oakey Dewing aus dem Jahr 1895.",https://gallerix.de/poster/5110-garden-in-may-by-maria-oakey-dewing,https://img.gallerix.com/product/google/5110.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,5110,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Grün/Rot,Berühmte Künstler,DE
5981,Poster Silver Moon By Eero Järnefelt | Berühmte Künstler,Poster aus der Kategorie historische Kunst mit dem Gemälde „Silver Moon“ des finnischen Künstlers Eero Järnefelt aus dem Jahr 1911.,https://gallerix.de/poster/5981-silver-moon-by-eero-jarnefelt,https://img.gallerix.com/product/google/5981.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,5981,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Blau,Berühmte Künstler,DE
4167,Poster Hare With A Book | Kinderposter,Kinderposter aus der Kategorie Kinderposter mit einem niedlichen Aquarellbild eines jungen Hasen mit einem roten Buch. Das Gemälde hat einen sandfarbenen Hintergrund.,https://gallerix.de/poster/4167-hare-with-a-book,https://img.gallerix.com/product/google/4167.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,4167,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Blau/Rot,Kinderposter,DE
8633,"Poster Portico Of A Mosque, Ahmedabad By Edwin Lord Week | Berühmte Künstler","Poster mit dem Gemälde „Portico Of A Mosque, Ahmedabad“ des amerikanischen Künstlers Edwin Lord Weeks.",https://gallerix.de/poster/8633-portico-of-a-mosque-ahmedabad-by-edwin-lord-week,https://img.gallerix.com/product/google/8633.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8633,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Beige,Berühmte Künstler,DE
