id,title,description,link,image_link,price,sale_price,availability,condition,brand,mpn,google_product_category,product_type,color,custom_label_0,target_country
6377,"Poster Winter Walk No1 | Natal, Inverno, Aquarela, Feriados festivos",Poster da nossa coleção de inverno e Natal apresentando uma pintura em aquarela de uma mulher com duas cestas caminhando por uma paisagem nevada e atmosférica.,https://gallerix.pt/poster/6377-winter-walk-no1,https://img.gallerix.com/product/google/6377.jpg,14.90 EUR,10.43 EUR,in stock,new,Gallerix,6377,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Bege,"Natal,Inverno,Aquarela,Feriados festivos",PT
3666,"Poster Brooklyn Bridge Close | Fotografia, Cidades e Arquitetura, Preto e branco",Pôster em preto e branco da categoria cidades e arquitetura com fotografia na Ponte do Brooklyn em Nova York. A Brooklyn Bridge se estende pelo East River de Manhattan ao Brooklyn e se tornou a maior ponte suspensa do mundo quando concluída. Foi também a primeira ponte pênsil cuja construção utilizou fios de aço.,https://gallerix.pt/poster/3666-brooklyn-bridge-close,https://img.gallerix.com/product/google/3666.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,3666,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Preto/Branco,"Fotografia,Cidades e Arquitetura,Preto e branco",PT
9874,Poster Abstract Serenity Seat | Aquarela,Experimente a elegância e a simplicidade deste moderno póster abstrato. Uma cadeira estilizada em tons de verde escuro e castanho quente assenta sobre um fundo de textura suave em verde e branco. O contraste cria uma sensação de calma e reflexão.,https://gallerix.pt/poster/9874-abstract-serenity-seat,https://img.gallerix.com/product/google/9874.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,9874,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Bege/Verde,Aquarela,PT
5193,Poster Teamwork | Conceptual e Surreal,Pôster da categoria de arte com uma ilustração de duas pessoas com peças de quebra-cabeça empurrando-as uma contra a outra. A ilustração simboliza o trabalho em equipe.,https://gallerix.pt/poster/5193-teamwork,https://img.gallerix.com/product/google/5193.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,5193,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Amarelo,Conceptual e Surreal,PT
4531,"Poster The Ten Largest No9 By Hilma Af Klint | Pinturas de arte, Hilma af Klint",Pôster da categoria abstrato e arte com motivos pintados pela pintora sueca Hilma af Klint em 1907.,https://gallerix.pt/poster/4531-the-ten-largest-no9-by-hilma-af-klint,https://img.gallerix.com/product/google/4531.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,4531,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Rosa,"Pinturas de arte,Hilma af Klint",PT
4961,Poster Bergen Park By John Frederick Kensett | Artista famoso,"Pôster com a pintura ""Bergen Park"" do artista americano John Frederick Kensett do ano de 1870.",https://gallerix.pt/poster/4961-bergen-park-by-john-frederick-kensett,https://img.gallerix.com/product/google/4961.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,4961,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Verde,Artista famoso,PT
8647,Poster Comtesse De La Châtre By Elisabeth Louise Vigee Le Brun | Artista famoso,Cartaz com a pintura &quot;Comtesse De La Châtre&quot; da artista francesa Elisabeth Louise Vigee Le Brun em 1789.,https://gallerix.pt/poster/8647-comtesse-de-la-chatre-by-elisabeth-louise-vigee-le-brun,https://img.gallerix.com/product/google/8647.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,8647,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Bege,Artista famoso,PT
9133,"Poster Lavender Arches | Botânico, Fotografia, Cidades e Arquitetura",Transforme a sua casa com este póster onírico que capta um corredor encantador coberto de lavanda roxa em flor. A arquitetura elegante e os suaves raios de luz criam uma atmosfera mágica que respira romance e uma beleza intemporal.,https://gallerix.pt/poster/9133-lavender-arches,https://img.gallerix.com/product/google/9133.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,9133,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,Bege,"Botânico,Fotografia,Cidades e Arquitetura",PT
5649,Poster Bear Friends In Hot Air Balloon | Cartazes para crianças,Poster infantil com ilustração de dois ursos voando juntos em um balão de ar quente.,https://gallerix.pt/poster/5649-bear-friends-in-hot-air-balloon,https://img.gallerix.com/product/google/5649.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,5649,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster,,Cartazes para crianças,PT
4747,Poster The Kiss By Edvard Munch | Artista famoso,"Pôster com a pintura ""O Beijo"" do mundialmente famoso artista norueguês Edvard Munch de 1895. O motivo retrata um homem nu e uma mulher se beijando. As obras de Edvard Munch são conhecidas por se inspirarem em temas existenciais como a melancolia, a ansiedade e o ciúme, mas também pintou motivos da natureza norueguesa e dos locais onde viveu.",https://gallerix.pt/poster/4747-the-kiss-by-edvard-munch,https://img.gallerix.com/product/google/4747.jpg,14.90 EUR,11.92 EUR,in stock,new,Gallerix,4747,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Poster special,Bege,Artista famoso,PT
